2018-04-09 09:47:48, 239.96;245.10;247.62;249.56;238.75;248.72;232.48;248.52
2018-04-09 09:47:49, 239.25;249.56;247.67;253.87;250.95;245.00;246.30;248.73
2018-04-09 09:47:50, 240.29;242.22;250.77;238.09;243.93;240.80;246.05;240.75
2018-04-09 09:47:51, 244.37;245.23;246.52;249.08;238.42;255.70;239.36;247.62
2018-04-09 09:47:53, 241.30;249.02;253.91;248.25;250.79;245.15;246.55;246.60
2018-04-09 09:47:54, 237.55;255.85;291.31;246.62;242.51;245.56;271.79;263.00
2018-04-09 09:47:55, 247.89;258.97;252.76;261.42;247.20;252.84;247.93;258.01
2018-04-09 09:47:56, 266.39;247.17;264.57;247.98;255.52;250.63;260.76;254.48
2018-04-09 09:47:57, 248.83;263.97;290.14;330.44;289.50;333.46;300.48;285.38
2018-04-09 09:47:58, 246.18;239.87;242.99;241.90;235.60;240.40;240.74;247.34
2018-04-09 09:47:59, 238.65;241.54;240.30;244.97;246.83;243.13;240.06;245.87
2018-04-09 09:48:01, 244.34;242.21;238.47;240.43;239.43;235.04;239.56;242.69
2018-04-09 09:48:02, 240.39;242.88;249.63;238.99;241.69;238.77;248.60;244.60
2018-04-09 09:48:03, 245.28;246.38;245.69;237.95;245.86;235.38;250.11;240.10
2018-04-09 09:48:04, 242.41;253.23;242.26;249.34;258.09;253.79;248.74;244.88
2018-04-09 09:48:05, 247.21;253.15;246.68;237.36;246.71;254.61;243.12;242.39
2018-04-09 09:48:06, 242.89;252.26;233.71;258.42;245.75;243.07;239.87;250.82
2018-04-09 09:48:07, 244.83;240.31;263.71;241.49;241.32;241.62;240.99;240.93
2018-04-09 09:48:08, 247.33;232.32;247.00;241.63;244.69;270.58;250.86;251.65
2018-04-09 09:48:09, 231.99;244.86;244.36;247.15;242.11;236.16;241.04;243.72
2018-04-09 09:48:11, 237.51;237.20;245.63;245.60;241.83;245.18;247.80;244.91
2018-04-09 09:48:12, 245.93;241.89;240.65;244.87;250.14;243.38;243.25;240.01
2018-04-09 09:48:13, 242.10;233.64;240.75;242.88;237.89;247.67;237.86;242.16
2018-04-09 09:48:14, 243.04;237.36;243.44;240.74;245.38;230.87;247.94;240.12
2018-04-09 09:48:15, 245.53;243.66;250.71;248.73;243.54;240.91;249.65;255.06
2018-04-09 09:48:16, 245.34;243.06;250.54;243.49;247.06;244.16;243.42;240.47
2018-04-09 09:48:17, 238.17;243.52;243.76;245.31;244.50;245.55;246.12;242.53
2018-04-09 09:48:19, 243.20;240.32;246.00;238.13;244.76;239.67;242.17;240.68
